2024-12-19 02:13:14:744 0 sec: 0 operations; est completion in 0 second 
2024-12-19 02:13:19:702 5 sec: 3626 operations; 725,05 current ops/sec; est completion in 6 minutes [READ AverageLatency(us)=3541,27] [UPDATE AverageLatency(us)=3860,63] 
2024-12-19 02:13:24:701 10 sec: 17605 operations; 2795,8 current ops/sec; est completion in 2 minutes [READ AverageLatency(us)=1011,85] [UPDATE AverageLatency(us)=1117,75] 
2024-12-19 02:13:29:701 15 sec: 39999 operations; 4479,7 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=638,87] [UPDATE AverageLatency(us)=693,12] 
2024-12-19 02:13:34:701 20 sec: 63396 operations; 4679,4 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=614,45] [UPDATE AverageLatency(us)=660,2] 
2024-12-19 02:13:39:701 25 sec: 84838 operations; 4288,4 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=675,19] [UPDATE AverageLatency(us)=717,98] 
2024-12-19 02:13:44:701 30 sec: 101897 operations; 3411,8 current ops/sec; est completion in 59 seconds [READ AverageLatency(us)=845,13] [UPDATE AverageLatency(us)=905,68] 
2024-12-19 02:13:49:701 35 sec: 120511 operations; 3722,06 current ops/sec; est completion in 53 seconds [READ AverageLatency(us)=775,8] [UPDATE AverageLatency(us)=828,88] 
2024-12-19 02:13:54:701 40 sec: 138843 operations; 3667,13 current ops/sec; est completion in 47 seconds [READ AverageLatency(us)=786,79] [UPDATE AverageLatency(us)=843,36] 
2024-12-19 02:13:59:701 45 sec: 158167 operations; 3864,8 current ops/sec; est completion in 41 seconds [READ AverageLatency(us)=750,27] [UPDATE AverageLatency(us)=797] 
2024-12-19 02:14:04:704 50 sec: 177457 operations; 3854,92 current ops/sec; est completion in 35 seconds [READ AverageLatency(us)=752,97] [UPDATE AverageLatency(us)=798,45] 
2024-12-19 02:14:09:701 55 sec: 196841 operations; 3879,9 current ops/sec; est completion in 29 seconds [READ AverageLatency(us)=740,17] [UPDATE AverageLatency(us)=801,38] 
2024-12-19 02:14:14:701 60 sec: 216316 operations; 3895 current ops/sec; est completion in 24 seconds [READ AverageLatency(us)=741,76] [UPDATE AverageLatency(us)=793,06] 
2024-12-19 02:14:19:703 65 sec: 235594 operations; 3853,29 current ops/sec; est completion in 18 seconds [READ AverageLatency(us)=758,84] [UPDATE AverageLatency(us)=792,85] 
2024-12-19 02:14:24:701 70 sec: 253605 operations; 3604,36 current ops/sec; est completion in 13 seconds [READ AverageLatency(us)=798,25] [UPDATE AverageLatency(us)=860,72] 
2024-12-19 02:14:29:701 75 sec: 267598 operations; 2798,04 current ops/sec; est completion in 10 seconds [READ AverageLatency(us)=816,78] [CLEANUP AverageLatency(us)=2] [UPDATE AverageLatency(us)=856,49] 
2024-12-19 02:14:34:701 80 sec: 277564 operations; 1993,6 current ops/sec; est completion in 7 second [READ AverageLatency(us)=941,86]  [UPDATE AverageLatency(us)=1054,89] 
2024-12-19 02:14:39:704 85 sec: 287599 operations; 2005,4 current ops/sec; est completion in 4 second [READ AverageLatency(us)=940,67]  [UPDATE AverageLatency(us)=1039,6] 
2024-12-19 02:14:44:701 90 sec: 297587 operations; 1999,2 current ops/sec; est completion in 1 second [READ AverageLatency(us)=958,44]  [UPDATE AverageLatency(us)=1036,79] 
2024-12-19 02:14:46:124 91 sec: 300000 operations; 1695,71 current ops/sec; [READ AverageLatency(us)=725,83] [CLEANUP AverageLatency(us)=0,5] [UPDATE AverageLatency(us)=772,68] 
2024-12-19 11:44:28:306 0 sec: 0 operations; est completion in 0 second 
2024-12-19 11:44:33:283 5 sec: 3251 operations; 650.2 current ops/sec; est completion in 7 minutes [READ AverageLatency(us)=3738.58] [UPDATE AverageLatency(us)=3945.27] 
2024-12-19 11:44:38:291 10 sec: 10692 operations; 1485.82 current ops/sec; est completion in 4 minutes [READ AverageLatency(us)=1969.02] [UPDATE AverageLatency(us)=2019.85] 
2024-12-19 11:44:43:293 15 sec: 10692 operations; 0 current ops/sec; est completion in 6 minutes   
2024-12-19 11:44:48:297 20 sec: 10692 operations; 0 current ops/sec; est completion in 9 minutes   
2024-12-19 11:44:53:291 25 sec: 10692 operations; 0 current ops/sec; est completion in 11 minutes   
